pl_hostname,hd_name,hip_name,pl_pnum,pl_letter
HD 13189,HD 13189,HIP 10085,1,b
HD 195019,HD 195019,HIP 100970,1,b
GJ 86,HD 13445,HIP 10138,1,b
HD 196050,HD 196050,HIP 101806,1,b
HD 197037,HD 197037 A,HIP 101948,1,b
HD 196885,HD 196885 A,HIP 101966,1,b
HD 196067,HD 196067,HIP 102125,1,b
18 Del,HD 199665,HIP 103527,1,b
HD 200964,HD 200964,HIP 104202,2,c
HD 200964,HD 200964,HIP 104202,2,b
BD+14 4559,,HIP 104780,1,b
HD 202206,HD 202206,HIP 104903,2,c
HD 202206,HD 202206,HIP 104903,2,b
HD 203030,HD 203030,HIP 105232,1,b
HIP 105854,HD 203949,HIP 105854,1,b
HD 204313,HD 204313,HIP 106006,2,b
HD 204313,HD 204313,HIP 106006,2,c
HD 13931,HD 13931,HIP 10626,1,b
HD 204941,HD 204941,HIP 106353,1,b
GJ 832,HD 204961,HIP 106440,2,b
GJ 832,HD 204961,HIP 106440,2,c
HD 14067,HD 14067,HIP 10657,1,b
HD 205739,HD 205739,HIP 106824,1,b
HD 206610,HD 206610,HIP 107251,1,b
HN Peg,HD 206860,HIP 107350,1,b
HD 13908,HD 13908,HIP 10743,2,b
HD 13908,HD 13908,HIP 10743,2,c
HIP 107773,HD 207229,HIP 107773,1,b
HD 207832,HD 207832,HIP 107985,2,c
HD 207832,HD 207832,HIP 107985,2,b
HD 12648,HD 12648,HIP 10800,1,b
HD 208527,HD 208527,HIP 108296,1,b
HD 208487,HD 208487,HIP 108375,1,b
HD 209458,HD 209458,HIP 108859,1,b
HD 210277,HD 210277,HIP 109378,1,b
HIP 109384,,HIP 109384,1,b
GJ 849,,HIP 109388,1,b
HD 210702,HD 210702,HIP 109577,1,b
HIP 109600,,HIP 109600,1,b
K2-65,,HIP 109656,1,b
HD 212771,HD 212771,HIP 110813,1,b
HD 212301,HD 212301,HIP 110852,1,b
HD 213240,HD 213240,HIP 111143,1,b
HD 214823,HD 214823,HIP 111928,1,b
HD 215497,HD 215497,HIP 112441,2,c
HD 215497,HD 215497,HIP 112441,2,b
GJ 876,,HIP 113020,4,b
GJ 876,,HIP 113020,4,e
GJ 876,,HIP 113020,4,c
GJ 876,,HIP 113020,4,d
HD 216435,HD 216435,HIP 113044,1,b
HD 216437,HD 216437,HIP 113137,1,b
HD 216770,HD 216770,HIP 113238,1,b
51 Peg,HD 217014,HIP 113357,1,b
Fomalhaut,HD 216956,HIP 113368,1,b
HD 217107,HD 217107,HIP 113421,2,b
HD 217107,HD 217107,HIP 113421,2,c
HD 217786,HD 217786 A,HIP 113834,1,b
WASP-33,HD 15082,HIP 11397,1,b
HR 8799,HD 218396,HIP 114189,4,b
HR 8799,HD 218396,HIP 114189,4,d
HR 8799,HD 218396,HIP 114189,4,e
HR 8799,HD 218396,HIP 114189,4,c
HD 218566,HD 218566,HIP 114322,1,b
HD 219134,HD 219134,HIP 114622,6,b
HD 219134,HD 219134,HIP 114622,6,g
HD 219134,HD 219134,HIP 114622,6,f
HD 219134,HD 219134,HIP 114622,6,d
HD 219134,HD 219134,HIP 114622,6,c
HD 219134,HD 219134,HIP 114622,6,h
HD 219077,HD 219077,HIP 114699,1,b
HD 240237,HD 240237,HIP 114840,1,b
91 Aqr,HD 219449,HIP 114855,1,b
HD 219828,HD 219828,HIP 115100,2,c
HD 219828,HD 219828,HIP 115100,2,b
HD 220074,HD 220074,HIP 115218,1,b
HD 220689,HD 220689,HIP 115662,1,b
HD 220773,HD 220773,HIP 115697,1,b
HD 220842,HD 220842,HIP 115714,1,b
14 And,HD 221345,HIP 116076,1,b
HD 221287,HD 221287,HIP 116084,1,b
HD 221585,HD 221585,HIP 116221,1,b
HIP 116454,,HIP 116454,1,b
HD 222155,HD 222155,HIP 116616,1,b
gam Cep,HD 222404,HIP 116727,1,b
kap And,HD 222439,HIP 116805,1,b
HD 222582,HD 222582,HIP 116906,1,b
75 Cet,HD 15779,HIP 11791,1,b
HD 224693,HD 224693,HIP 118319,1,b
HD 16141,HD 16141,HIP 12048,1,b
30 Ari B,HD 16232,HIP 12184,1,b
HD 16417,HD 16417,HIP 12186,1,b
HD 16175,HD 16175,HIP 12191,1,b
81 Cet,HD 16400,HIP 12247,1,b
HR 810,HD 17051,HIP 12653,1,b
GJ 3021,HD 1237,HIP 1292,1,b
HIP 12961,,HIP 12961,1,b
HD 17156,HD 17156,HIP 13192,1,b
HD 18742,HD 18742,HIP 13993,1,b
GJ 15 A,HD 1326 A,HIP 1475,1,b
HIP 14810,,HIP 14810,3,c
HIP 14810,,HIP 14810,3,d
HIP 14810,,HIP 14810,3,b
HD 19994,HD 19994,HIP 14954,1,b
HD 1461,HD 1461,HIP 1499,2,b
HD 1461,HD 1461,HIP 1499,2,c
HD 1502,HD 1502,HIP 1547,1,b
HD 20794,HD 20794,HIP 15510,3,b
HD 20794,HD 20794,HIP 15510,3,c
HD 20794,HD 20794,HIP 15510,3,d
HD 20782,HD 20782,HIP 15527,1,b
HD 20868,HD 20868,HIP 15578,1,b
HD 1605,HD 1605,HIP 1640,2,b
HD 1605,HD 1605,HIP 1640,2,c
eps Eri,HD 22049,HIP 16537,1,b
HD 1666,HD 1666,HIP 1666,1,b
HD 1690,HD 1690,HIP 1692,1,b
HD 23127,HD 23127,HIP 17054,1,b
HD 23079,HD 23079,HIP 17096,1,b
HD 22781,HD 22781,HIP 17187,1,b
HD 23596,HD 23596,HIP 17747,1,b
HD 24040,HD 24040,HIP 17960,1,b
HD 25171,HD 25171,HIP 18387,1,b
HD 24064,HD 24064,HIP 18451,1,b
HD 285507,HD 285507,HIP 19207,1,b
HD 2039,HD 2039,HIP 1931,1,b
GJ 163,,HIP 19394,3,d
GJ 163,,HIP 19394,3,b
GJ 163,,HIP 19394,3,c
HD 27442,HD 27442,HIP 19921,1,b
HD 27631,HD 27631,HIP 20199,1,b
HD 27894,HD 27894,HIP 20277,1,b
HD 28254,HD 28254,HIP 20606,1,b
HD 28185,HD 28185,HIP 20723,1,b
eps Tau,HD 28305,HIP 20889,1,b
HD 28678,HD 28678,HIP 21109,1,b
alf Tau,HD 29139,HIP 21421,1,b
51 Eri,HD 29391,HIP 21547,1,b
HD 30177,HD 30177,HIP 21850,1,b
HD 285968,HD 285968,HIP 21932,1,b
HD 30669,HD 30669,HIP 22320,1,b
HD 30562,HD 30562,HIP 22336,1,b
BD-17 63,,HIP 2247,1,b
HD 30856,HD 30856,HIP 22491,1,b
GJ 179,,HIP 22627,1,b
HD 31253,HD 31253,HIP 22826,1,b
HD 2638,HD 2638 B,HIP 2350,1,b
HD 33142,HD 33142,HIP 23844,1,b
HD 32963,HD 32963,HIP 23884,1,b
HD 33283,HD 33283,HIP 23889,1,b
HD 32518,HD 32518,HIP 24003,1,b
Kapteyn,HD 33793,HIP 24186,1,c
HD 33844,HD 33844,HIP 24275,2,b
HD 33844,HD 33844,HIP 24275,2,c
KELT-7,HD 33643,HIP 24323,1,b
HD 34445,HD 34445,HIP 24681,1,b
HD 33564,HD 33564,HIP 25110,1,b
HD 290327,HD 290327,HIP 25191,1,b
HD 35759,HD 35759,HIP 25883,1,b
HD 2952,HD 2952,HIP 2611,1,b
HD 38283,HD 38283,HIP 26380,1,b
HD 37124,HD 37124,HIP 26381,3,c
HD 37124,HD 37124,HIP 26381,3,b
HD 37124,HD 37124,HIP 26381,3,d
HD 39091,HD 39091,HIP 26394,1,b
HD 37605,HD 37605,HIP 26664,2,b
HD 37605,HD 37605,HIP 26664,2,c
HD 38529,HD 38529,HIP 27253,2,c
